Group ID,Registered name,EIN,SWIFT BIC,Business Registration Number,Address Line 1 - Current,Address Line 2 - Current,City - Current,State - Current,Postal Code - Current,Country - Current,Address Line 1 - Mailing,Address Line 2 - Mailing,City - Mailing,State - Mailing,Postal Code - Mailing,Country - Mailing,Business Phone,IP Address
10,Apple Inc,94-2404110,,106340626 ,,,Cupertino,,95014,United States,,,,,,UK,,1
11,Apple Limited,,,,,,,,,United Kingdom,,,,,,,,
12,Appple Inc,320193,,,,,,,,United States,,,,,,,,
11,HSBC,,HSBCHKHH,,"Level 13 and 14, 1 Queens Road",,,,Hong Kong,China,,,,,,,,
20,Natwest,,,,36 St Andrew Square,, EDINBURGH ,,EH2 2YB ,United Kingdom,,,,,,,,2
21,Natwest,,,,,,,,EH2,United Kingdom,,,,,,,,2
22,Natwest,,,,1 High Street],,London,,EC1,United Kingdom,,,,,,,,
30,Med Pizza,,,,,,,,,Italia,,,,,,,,2
40,Fish4 Trading Limited,,,,,,,,,United Kingdom,,,,,,,,
41,Fish4 Trading Ltd,,,,,,,,E14 5AP,United Kingdom,,,,,,,,2
42,Fish 4 Trading,,,,,,London,,E14 5AD,UK,,,,,,,,
